gene,loading,abs_loading
gene-U712_00580,0.11417147,0.11417147
gene-U712_10210,0.107354835,0.107354835
gene-U712_00585,0.1014146,0.1014146
gene-U712_00700,0.08827221,0.08827221
gene-U712_00735,0.08574556,0.08574556
gene-U712_20290,0.08477078,0.08477078
gene-U712_16965,0.08411337,0.08411337
gene-U712_00695,0.08332969,0.08332969
gene-U712_19840,0.08085494,0.08085494
gene-U712_00625,0.07938439,0.07938439
gene-U712_00705,0.07869947,0.07869947
gene-U712_07665,0.07662746,0.07662746
gene-U712_06215,0.074582025,0.074582025
gene-U712_07310,0.07336663,0.07336663
gene-U712_07675,0.07330899,0.07330899
gene-U712_00560,0.07280758,0.07280758
gene-U712_06220,0.071887605,0.071887605
gene-U712_00600,0.07138487,0.07138487
gene-U712_18050,0.07114354,0.07114354
gene-U712_01810,0.0710372,0.0710372
gene-U712_18700,0.07083048,0.07083048
gene-U712_19250,0.06929057,0.06929057
gene-U712_01805,0.06784177,0.06784177
gene-U712_03020,0.067316405,0.067316405
gene-U712_20285,0.06691975,0.06691975
gene-U712_08455,0.0666639,0.0666639
gene-U712_07680,0.06645966,0.06645966
gene-U712_10205,0.065749034,0.065749034
gene-U712_16300,0.065217495,0.065217495
gene-U712_09415,0.064948425,0.064948425
